scan_id	subject	session	run	protocol_id	status	review_class	mean_length	axis_flipped	axis_permutations	axis_basis
sub-035_ses-02_run-05_dwi	sub-035	ses-02	run-05	Protocol B	PASS	none	41.27	none	(0,1,2)	scanner
sub-036_ses-01_run-01_dwi	sub-036	ses-01	run-01	Protocol A	PASS	none	52.82	none	(0,1,2)	image
sub-036_ses-01_run-02_dwi	sub-036	ses-01	run-02	Protocol A	REVIEW	axis_flip	20.30	1	(0,1,2)	scanner
sub-036_ses-01_run-05_dwi	sub-036	ses-01	run-05	Protocol B	PASS	none	41.73	none	(0,1,2)	image
sub-036_ses-02_run-01_dwi	sub-036	ses-02	run-01	Protocol A	PASS	none	43.80	none	(0,1,2)	scanner
sub-036_ses-02_run-02_dwi	sub-036	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	60.07	1	(1,0,2)	scanner
sub-036_ses-02_run-05_dwi	sub-036	ses-02	run-05	Protocol B	PASS	none	39.18	none	(0,1,2)	image
sub-037_ses-01_run-01_dwi	sub-037	ses-01	run-01	Protocol A	PASS	none	41.79	none	(0,1,2)	scanner
sub-037_ses-01_run-02_dwi	sub-037	ses-01	run-02	Protocol A	REVIEW	axis_swap	33.49	none	(2,0,1)	scanner
sub-037_ses-01_run-05_dwi	sub-037	ses-01	run-05	Protocol B	PASS	none	34.89	none	(0,1,2)	scanner
sub-038_ses-01_run-01_dwi	sub-038	ses-01	run-01	Protocol A	PASS	none	45.29	none	(0,1,2)	image
sub-038_ses-01_run-02_dwi	sub-038	ses-01	run-02	Protocol A	REVIEW	axis_swap	22.49	none	(0,2,1)	scanner
sub-038_ses-01_run-05_dwi	sub-038	ses-01	run-05	Protocol B	PASS	none	42.39	none	(0,1,2)	scanner
sub-038_ses-02_run-01_dwi	sub-038	ses-02	run-01	Protocol A	PASS	none	39.33	none	(0,1,2)	scanner
sub-038_ses-02_run-02_dwi	sub-038	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	16.48	2	(1,2,0)	image
sub-038_ses-02_run-05_dwi	sub-038	ses-02	run-05	Protocol B	PASS	none	35.43	none	(0,1,2)	image
sub-039_ses-01_run-01_dwi	sub-039	ses-01	run-01	Protocol A	PASS	none	28.43	none	(0,1,2)	image
sub-039_ses-01_run-02_dwi	sub-039	ses-01	run-02	Protocol A	REVIEW	axis_flip_and_swap	26.92	1	(0,2,1)	scanner
sub-039_ses-01_run-05_dwi	sub-039	ses-01	run-05	Protocol B	PASS	none	32.87	none	(0,1,2)	image
sub-039_ses-02_run-01_dwi	sub-039	ses-02	run-01	Protocol A	PASS	none	26.85	none	(0,1,2)	image
sub-039_ses-02_run-02_dwi	sub-039	ses-02	run-02	Protocol A	REVIEW	axis_flip_and_swap	32.68	1	(1,0,2)	image
sub-039_ses-02_run-05_dwi	sub-039	ses-02	run-05	Protocol B	REVIEW	axis_flip	34.41	2	(0,1,2)	scanner
sub-040_ses-01_run-01_dwi	sub-040	ses-01	run-01	Protocol A	PASS	none	45.61	none	(0,1,2)	image
