scan_id	subject	session	run	protocol_id	mask_file_present	mask_voxels	voxel_volume_mm3	brain_volume_mm3	brain_fraction
sub-027_ses-02_run-01_dwi	sub-027	ses-02	run-01	Protocol A	False	251315.0	5.0	1256575.0	0.173081955922865
sub-027_ses-02_run-02_dwi	sub-027	ses-02	run-02	Protocol A	False	539352.0	5.0	2696760.0	0.3714545454545455
sub-027_ses-02_run-05_dwi	sub-027	ses-02	run-05	Protocol B	True	170580.0	3.440937599167228	586955.1356659458	0.2082275390625
sub-028_ses-01_run-01_dwi	sub-028	ses-01	run-01	Protocol A	True	254519.0	5.0	1272595.0	0.1752885674931129
sub-028_ses-01_run-02_dwi	sub-028	ses-01	run-02	Protocol A	True	1107952.0	5.0	5539760.0	0.7630523415977961
sub-028_ses-01_run-05_dwi	sub-028	ses-01	run-05	Protocol B	True	226519.0	3.440937599167228	779437.7440257614	0.276512451171875
sub-028_ses-02_run-01_dwi	sub-028	ses-02	run-01	Protocol A	True	278004.0	5.0	1390020.0	0.1914628099173553
sub-028_ses-02_run-02_dwi	sub-028	ses-02	run-02	Protocol A	True	1114074.0	5.0	5570370.0	0.7672685950413223
sub-028_ses-02_run-05_dwi	sub-028	ses-02	run-05	Protocol B	True	210520.0	3.440937599167228	724386.1833766849	0.256982421875
sub-029_ses-01_run-01_dwi	sub-029	ses-01	run-01	Protocol A	True	262857.0	5.0	1314285.0	0.1810309917355372
sub-029_ses-01_run-02_dwi	sub-029	ses-01	run-02	Protocol A	True	452268.0	5.0	2261340.0	0.3114793388429752
sub-029_ses-01_run-05_dwi	sub-029	ses-01	run-05	Protocol B	True	185257.0	3.440937599167228	637457.7768089232	0.226143798828125
sub-029_ses-02_run-01_dwi	sub-029	ses-02	run-01	Protocol A	True	254727.0	5.0	1273635.0	0.1754318181818182
sub-029_ses-02_run-02_dwi	sub-029	ses-02	run-02	Protocol A	True	1210080.0	5.0	6050400.0	0.8333884297520661
sub-029_ses-02_run-05_dwi	sub-029	ses-02	run-05	Protocol B	True	178619.0	3.4409373737871642	614616.7927684895	0.218040771484375
sub-030_ses-01_run-01_dwi	sub-030	ses-01	run-01	Protocol A	True	235219.0	5.0	1176095.0	0.1619965564738292
sub-030_ses-01_run-02_dwi	sub-030	ses-01	run-02	Protocol A	True	260595.0	5.0	1302975.0	0.1794731404958677
sub-030_ses-01_run-05_dwi	sub-030	ses-01	run-05	Protocol B	True	143860.0	3.4409373737871642	495013.25059302145	0.1756103515625
sub-030_ses-02_run-01_dwi	sub-030	ses-02	run-01	Protocol A	True	234049.0	5.0	1170245.0	0.1611907713498622
