subject	session	mask_voxels	brain_fraction
sub-011	ses-02	1181947.0	0.814013085399449
sub-011	ses-02	214802.0	0.26220947265625
sub-012	ses-01	286973.0	0.1976398071625344
sub-012	ses-01	1226573.0	0.8447472451790634
sub-012	ses-01	144123.0	0.175931396484375
sub-012	ses-02	271916.0	0.1872699724517906
sub-012	ses-02	351689.0	0.2422100550964187
sub-012	ses-02	173315.0	0.211566162109375
sub-013	ses-01	274894.0	0.1893209366391184
sub-013	ses-01	490650.0	0.3379132231404959
sub-013	ses-01	167007.0	0.203865966796875
sub-014	ses-01	264673.0	0.1822816804407713
sub-014	ses-01	1118571.0	0.7703657024793389
sub-014	ses-01	213424.0	0.26052734375
sub-015	ses-01	267050.0	0.1839187327823691
sub-015	ses-01	483181.0	0.3327692837465564
sub-015	ses-01	156261.0	0.190748291015625
sub-015	ses-02	270736.0	0.1864573002754821
sub-015	ses-02	214123.0	0.1474676308539945
sub-015	ses-02	157959.0	0.192821044921875
sub-016	ses-01	265256.0	0.1826831955922865
sub-016	ses-01	426191.0	0.2935199724517906
sub-016	ses-01	194753.0	0.237735595703125
sub-016	ses-02	264634.0	0.1822548209366391
sub-016	ses-02	364291.0	0.2508891184573003
sub-016	ses-02	169750.0	0.20721435546875
sub-017	ses-01	283088.0	0.1949641873278237
sub-017	ses-01	487121.0	0.335482782369146
sub-017	ses-01	203042.0	0.24785400390625
sub-017	ses-02	286613.0	0.1973918732782369
sub-017	ses-02	1085418.0	0.7475330578512397
sub-017	ses-02	192099.0	0.234495849609375
sub-018	ses-01	271997.0	0.1873257575757575
sub-018	ses-01	1159270.0	0.7983953168044077
sub-018	ses-01	268266.0	0.32747314453125
sub-018	ses-01	288631.0	0.1987816804407713
sub-018	ses-01	1154753.0	0.795284435261708
sub-019	ses-01	285146.0	0.1963815426997245
sub-019	ses-01	341986.0	0.2355275482093664
sub-019	ses-01	167657.0	0.204659423828125
sub-019	ses-02	282482.0	0.1945468319559228
sub-019	ses-02	1055071.0	0.7266329201101929
sub-019	ses-02	161707.0	0.197396240234375
sub-020	ses-01	240235.0	0.1654511019283746
sub-020	ses-01	1196394.0	0.8239628099173554
sub-020	ses-01	149266.0	0.18220947265625
sub-021	ses-01	247733.0	0.1706150137741046
sub-021	ses-01	528382.0	0.3638994490358126
sub-021	ses-01	185721.0	0.226710205078125
sub-021	ses-02	243193.0	0.1674882920110192
sub-021	ses-02	1111131.0	0.7652417355371901
sub-021	ses-02	168262.0	0.20539794921875
sub-022	ses-01	259254.0	0.1785495867768595
sub-022	ses-01	372794.0	0.2567451790633608
sub-022	ses-01	166156.0	0.2028271484375
sub-022	ses-02	257695.0	0.1774758953168044
sub-022	ses-02	274236.0	0.1888677685950413
sub-022	ses-02	111856.0	0.13654296875
sub-023	ses-01	231263.0	0.1592720385674931
sub-023	ses-01	451351.0	0.3108477961432507
sub-023	ses-01	213823.0	0.261014404296875
sub-023	ses-02	228138.0	0.1571198347107438
sub-023	ses-02	1246487.0	0.8584621212121212
sub-023	ses-02	213832.0	0.261025390625
sub-024	ses-02	233161.0	0.1605792011019284
sub-024	ses-02	1180307.0	0.812883608815427
sub-024	ses-02	167346.0	0.20427978515625
sub-025	ses-01	236616.0	0.1629586776859504
sub-025	ses-01	1132974.0	0.7802851239669422
sub-025	ses-01	235891.0	0.1624593663911845
sub-025	ses-01	1155306.0	0.7956652892561984
sub-025	ses-01	181616.0	0.22169921875
sub-025	ses-02	235489.0	0.1621825068870523
sub-025	ses-02	419793.0	0.2891136363636363
sub-025	ses-02	189034.0	0.23075439453125
sub-026	ses-01	287115.0	0.1977376033057851
sub-026	ses-01	326858.0	0.2251088154269972
sub-026	ses-01	161522.0	0.19717041015625
sub-026	ses-02	288479.0	0.198676997245179
sub-026	ses-02	1163941.0	0.801612258953168
sub-026	ses-02	201985.0	0.246563720703125
sub-027	ses-01	269447.0	0.1855695592286501
sub-027	ses-01	1143946.0	0.7878415977961433
sub-027	ses-01	191662.0	0.23396240234375
sub-027	ses-02	251315.0	0.173081955922865
sub-027	ses-02	539352.0	0.3714545454545455
sub-027	ses-02	170580.0	0.2082275390625
sub-028	ses-01	254519.0	0.1752885674931129
sub-028	ses-01	1107952.0	0.7630523415977961
sub-028	ses-01	226519.0	0.276512451171875
sub-028	ses-02	278004.0	0.1914628099173553
sub-028	ses-02	1114074.0	0.7672685950413223
sub-028	ses-02	210520.0	0.256982421875
sub-029	ses-01	262857.0	0.1810309917355372
