subject	session	mean_signal	median_signal	std_signal	mean_b0_signal	mean_diffusion_signal
sub-045	ses-01	306.7977600097656	264.0	184.23715209960932	545.9017944335938	219.8508453369141
sub-046	ses-01	119.0758285522461	99.0	96.11598205566406	358.8275146484375	105.9387435913086
sub-046	ses-01	108.8428726196289	226.0	2302.869140625	123.69650268554688	108.02897644042967
sub-046	ses-01	352.2852783203125	303.0	215.053955078125	631.8714599609375	250.6175994873047
sub-046	ses-02	103.82184600830078	86.0	83.89942169189453	320.975830078125	91.92298889160156
sub-046	ses-02	-94.18193817138672	-146.0	2397.059326171875	-411.1951599121094	-76.81134033203125
sub-046	ses-02	321.6644897460937	273.0	201.9061279296875	583.6937866210938	226.38113403320312
sub-047	ses-01	159.69032287597656	128.0	146.88421630859375	386.3173522949219	116.10818481445312
sub-047	ses-01	688.5485229492188	1580.0	2568.95849609375	1652.6845703125	503.1378173828125
sub-047	ses-01	129.71995544433594	112.0	101.9948501586914	384.5493469238281	115.7566909790039
sub-047	ses-01	653.365478515625	1428.0	2531.692138671875	1918.0283203125	584.06884765625
sub-047	ses-01	340.8228759765625	295.0	206.4051971435547	608.3507690429688	243.5399932861328
sub-047	ses-02	114.77444458007812	104.0	87.9845962524414	333.8475646972656	102.77044677734376
sub-047	ses-02	506.4846801757813	1082.0	2455.14306640625	1726.78271484375	439.6190490722656
sub-047	ses-02	361.8928527832031	313.0	217.5667266845703	644.7780151367188	259.0255126953125
sub-048	ses-01	104.749755859375	89.0	82.38300323486328	316.8492126464844	93.1278839111328
sub-048	ses-01	759.249267578125	1454.0	2423.12109375	1824.2535400390625	700.8929443359375
sub-048	ses-01	306.53955078125	267.0	183.68798828125	541.542724609375	221.08384704589844
sub-048	ses-02	101.68551635742188	86.0	79.17314147949219	308.2777404785156	90.36540222167967
sub-048	ses-02	154.81910705566406	326.0	2337.856201171875	386.8765258789063	142.1036376953125
sub-048	ses-02	344.77691650390625	301.0	205.1331024169922	606.7698364257812	249.5067443847656
sub-049	ses-01	118.7287368774414	97.0	95.4914321899414	335.568359375	106.84710693359376
sub-049	ses-01	118.70428466796876	246.0	2326.711669921875	254.20252990722656	111.27972412109376
sub-049	ses-01	323.1640319824219	282.0	185.22203063964844	564.4989624023438	235.4058532714844
sub-050	ses-01	112.4532699584961	95.0	85.39920043945312	333.67535400390625	100.3315200805664
sub-050	ses-01	-7.582813739776611	-16.0	2505.215087890625	-3.4198813438415527	-7.810919761657715
sub-050	ses-01	342.1610107421875	291.0	215.69107055664065	622.150146484375	240.34674072265625
sub-051	ses-01	104.48236083984376	90.0	77.10114288330078	314.7811889648437	92.95914459228516
sub-051	ses-01	29.688215255737305	48.0	2509.2001953125	247.8046417236328	17.73662757873535
sub-051	ses-01	305.7293395996094	264.0	184.09378051757807	548.38818359375	217.4897918701172
sub-052	ses-01	112.01124572753906	101.0	88.31895446777344	333.98443603515625	99.8483428955078
sub-052	ses-01	672.16357421875	1448.0	2400.727294921875	1717.7791748046875	614.8695678710938
sub-052	ses-01	351.1004333496094	304.0	206.1007843017578	618.8123168945312	253.75070190429688
sub-052	ses-02	117.64706420898438	98.0	92.54816436767578	354.5326232910156	104.6670379638672
sub-052	ses-02	116.74593353271484	144.0	2298.540283203125	187.34634399414065	112.87741088867188
sub-052	ses-02	366.73638916015625	321.0	213.970443725586	640.9638671875	267.017333984375
sub-053	ses-01	95.81326293945312	80.0	73.8260269165039	283.3915100097656	85.53499603271484
sub-053	ses-01	52.73989868164063	116.0	2309.455322265625	64.8553237915039	52.07604598999024
sub-053	ses-01	315.8959655761719	276.0	188.05340576171875	549.8467407226562	230.82293701171875
sub-054	ses-01	98.47432708740234	84.0	75.14604949951172	289.0074462890625	88.0341567993164
sub-054	ses-01	59.34968948364258	126.0	2338.44482421875	116.18479919433594	56.23543167114258
sub-054	ses-01	318.5666809082031	279.0	191.9291381835937	566.9190063476562	228.2567138671875
sub-054	ses-02	97.84455871582033	84.0	73.84856414794922	288.1446228027344	87.41716003417969
