iqm	family	split	split_value	n	n_total	missing	missing_pct	mean	sd	median	iqr	min	max	p01	p99	variance	zero_variance	near_zero_variance
summary_gm_p05	intensity_summary	cohort	Glaucoma	74	74	0	0.0	1538.9054054054054	2044.0586014769126	545.0	1203.75	347.0	9020.0	374.74	8744.059999999998	4178175.5662717517	False	False
summary_gm_p05	intensity_summary	cohort	Data_ON	21	21	0	0.0	1222.857142857143	1442.1705962095566	519.0	42.0	458.0	5880.0	462.4	5372.200000000002	2079856.0285714283	False	False
summary_gm_p05	intensity_summary	cohort	Data_TON	8	8	0	0.0	678.375	393.9506631546646	543.0	71.75	502.0	1650.0	502.07	1575.5199999999998	155197.125	False	False
summary_gm_p05	intensity_summary	session	ses-01	230	230	0	0.0	1750.2478260869566	2802.5778533171115	547.5	1275.5	250.0	21398.0	388.77	12525.770000000002	7854442.623903549	False	False
summary_gm_p05	intensity_summary	session	ses-02	150	150	0	0.0	1973.7266666666667	2739.836618595998	558.0	2205.5	450.0	18396.0	456.45	10995.299999999996	7506704.696599552	False	False
summary_gm_p95	intensity_summary	all	all	380	380	0	0.0	19733.963157894737	32201.562031365076	1059.5	34045.5	892.0	126500.0	898.79	110331.51	1036940597.2598529	False	False
summary_gm_p95	intensity_summary	sequence_group	T1w	264	264	0	0.0	998.1515151515151	68.73025300625594	970.0	123.25	892.0	1167.0	897.63	1140.5500000000002	4723.847678303952	False	False
summary_gm_p95	intensity_summary	sequence_group	WMn	116	116	0	0.0	62374.08620689655	27884.585849399013	55320.5	48697.75	19188.0	126500.0	20287.95	120219.54999999994	777550127.9925036	False	False
summary_gm_p95	intensity_summary	cohort	Control	277	277	0	0.0	20271.310469314078	32686.587275660127	1056.0	35085.0	892.0	126500.0	897.76	110797.48000000001	1068412987.7293465	False	False
summary_gm_p95	intensity_summary	cohort	Glaucoma	74	74	0	0.0	21822.702702702703	34596.34206443176	1072.0	43455.5	912.0	98350.0	920.76	98006.9	1196906884.2391706	False	False
summary_gm_p95	intensity_summary	cohort	Data_ON	21	21	0	0.0	7729.142857142857	12890.162009399706	969.0	122.0	915.0	40831.0	919.8	39228.00000000001	166156276.62857145	False	False
summary_gm_p95	intensity_summary	cohort	Data_TON	8	8	0	0.0	13320.125	22874.85825990435	1079.0	11355.0	958.0	54409.0	958.7	53820.02	523259140.41071427	False	False
summary_gm_p95	intensity_summary	session	ses-01	230	230	0	0.0	18413.978260869564	30945.99309255144	1052.0	30474.5	894.0	126500.0	901.03	109269.15000000002	957654488.4842415	False	False
summary_gm_p95	intensity_summary	session	ses-02	150	150	0	0.0	21757.94	34043.24069646104	1065.0	38432.25	892.0	111445.0	900.94	110430.81	1158942237.117181	False	False
summary_gm_stdv	intensity_summary	all	all	380	380	0	0.0	5040.22255631579	8421.374475446275	153.82100000000003	8983.183225	93.6073	30129.4391	100.90659000000001	27990.355071	70919548.05569802	False	False
summary_gm_stdv	intensity_summary	sequence_group	T1w	264	264	0	0.0	137.1773238636364	22.960300869676825	133.5711	38.05915000000002	93.6073	210.866	100.124724	185.056824	527.1754160260824	False	False
