original_identifier	normalized_identifier	source_file	number_of_matches	confidence
SUBG02_SESSION2_2024MAR18	SUBG02_SESSION2_2024MAR18	session_mapping.csv:source_subject_folder	75	LOW
SUBG03	SUBG003	session_mapping.csv:canonical_subject_id	304	HIGH
SUBG03-SESSION01-2023OCT14	SUBG03-SESSION01-2023OCT14	session_mapping.csv:source_subject_folder	76	LOW
SUBG03_Session02_2024APR14	SUBG03_Session02_2024APR14	session_mapping.csv:source_subject_folder	76	LOW
SUBG04	SUBG004	session_mapping.csv:canonical_subject_id	300	HIGH
SUBG04-SESSION01-2023OCT15	SUBG04-SESSION01-2023OCT15	session_mapping.csv:source_subject_folder	75	LOW
SUBG04_Session02_2024APR13	SUBG04_Session02_2024APR13	session_mapping.csv:source_subject_folder	75	LOW
SUBG05	SUBG005	session_mapping.csv:canonical_subject_id	98	HIGH
SUBG05_Session01-2023NOV04	SUBG05_Session01-2023NOV04	session_mapping.csv:source_subject_folder	49	LOW
SUBG06	SUBG006	session_mapping.csv:canonical_subject_id	150	HIGH
SUBG06-SESSION1-2023NOV14	SUBG06-SESSION1-2023NOV14	session_mapping.csv:source_subject_folder	75	LOW
SUBG07	SUBG007	session_mapping.csv:canonical_subject_id	300	HIGH
SUBG07-SESSION2-2024JUL21	SUBG07-SESSION2-2024JUL21	session_mapping.csv:source_subject_folder	75	LOW
SUBG07_Session01_2023DEC02	SUBG07_Session01_2023DEC02	session_mapping.csv:source_subject_folder	75	LOW
SUBG08	SUBG008	session_mapping.csv:canonical_subject_id	300	HIGH
SUBG08_Session01_2024FEB10	SUBG08_Session01_2024FEB10	session_mapping.csv:source_subject_folder	75	LOW
SUBG08_Session02_2024AUG18	SUBG08_Session02_2024AUG18	session_mapping.csv:source_subject_folder	75	LOW
SUBG09	SUBG009	session_mapping.csv:canonical_subject_id	292	HIGH
SUBG09_Session01_2024MAY23	SUBG09_Session01_2024MAY23	session_mapping.csv:source_subject_folder	75	LOW
SUBG09_Session02_2024NOV19	SUBG09_Session02_2024NOV19	session_mapping.csv:source_subject_folder	71	LOW
