subject	session	physio_uid	target_stem	target_bold_exists	target_already_has_trigger	start_time_missing	ambiguous
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.202307111311001253258811.0.0.0	sub-011_ses-01_task-movie_run-07	True	False	True	False
sub-011	ses-01	1.3.12.2.1107.5.2.43.166092.2023071113152945374433936.0.0.0	sub-011_ses-01_task-rest_run-01	True	False	True	False
sub-011	ses-02	1.3.12.2.1107.5.2.43.166092.2024011011454026457257007.0.0.0	sub-011_ses-02_task-control_run-03	True	False	True	False
sub-011	ses-02	1.3.12.2.1107.5.2.43.166092.2024011011475749911164496.0.0.0	sub-011_ses-02_task-control_run-05	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210210839982961989.0.0.0	sub-012_ses-01_task-control_run-01	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071211150922077429353.0.0.0	sub-012_ses-01_task-control_run-03	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071211172137969536840.0.0.0	sub-012_ses-01_task-control_run-05	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210123750720100347.0.0.0	sub-012_ses-01_task-fmri_run-07	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210162776254081168.0.0.0	sub-012_ses-01_task-fmri_run-09	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210221579708869474.0.0.0	sub-012_ses-01_task-fmri_run-01	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.202307121026478763451019.0.0.0				True	True
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210310380632631840.0.0.0				True	True
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210363648136512661.0.0.0	sub-012_ses-01_task-movie_run-01	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210401127320387786.0.0.0	sub-012_ses-01_task-movie_run-03	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210441312004162911.0.0.0	sub-012_ses-01_task-movie_run-05	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210482264084338036.0.0.0	sub-012_ses-01_task-movie_run-07	True	False	True	False
sub-012	ses-01	1.3.12.2.1107.5.2.43.166092.2023071210532235523313161.0.0.0	sub-012_ses-01_task-rest_run-01	True	False	True	False
