bold_stem	subject	session	task	run	has_pulse	has_resp
sub-005_ses-01_task-fmri_run-03	sub-005	ses-01	fmri	03	0	0
sub-005_ses-01_task-fmri_run-05	sub-005	ses-01	fmri	05	0	0
sub-005_ses-01_task-fmri_run-07	sub-005	ses-01	fmri	07	0	0
sub-005_ses-01_task-movie_run-01	sub-005	ses-01	movie	01	0	0
sub-005_ses-01_task-movie_run-03	sub-005	ses-01	movie	03	0	0
sub-005_ses-01_task-movie_run-07	sub-005	ses-01	movie	07	0	0
sub-005_ses-01_task-rest_run-01	sub-005	ses-01	rest	01	0	0
sub-006_ses-01_task-control_run-01	sub-006	ses-01	control	01	0	0
sub-006_ses-01_task-control_run-03	sub-006	ses-01	control	03	0	0
sub-006_ses-01_task-control_run-05	sub-006	ses-01	control	05	0	0
sub-006_ses-01_task-fmri_run-01	sub-006	ses-01	fmri	01	0	0
sub-006_ses-01_task-fmri_run-03	sub-006	ses-01	fmri	03	0	0
sub-006_ses-01_task-fmri_run-05	sub-006	ses-01	fmri	05	0	0
sub-006_ses-01_task-fmri_run-07	sub-006	ses-01	fmri	07	0	0
sub-006_ses-01_task-movie_run-01	sub-006	ses-01	movie	01	0	0
sub-006_ses-01_task-movie_run-03	sub-006	ses-01	movie	03	0	0
sub-006_ses-01_task-movie_run-05	sub-006	ses-01	movie	05	0	0
sub-006_ses-01_task-movie_run-07	sub-006	ses-01	movie	07	0	0
sub-006_ses-01_task-rest_run-01	sub-006	ses-01	rest	01	0	0
sub-006_ses-02_task-control_run-01	sub-006	ses-02	control	01	1	1
sub-006_ses-02_task-control_run-03	sub-006	ses-02	control	03	0	1
sub-006_ses-02_task-control_run-05	sub-006	ses-02	control	05	0	1
sub-006_ses-02_task-fmri_run-01	sub-006	ses-02	fmri	01	1	1
sub-006_ses-02_task-fmri_run-03	sub-006	ses-02	fmri	03	1	1
sub-006_ses-02_task-fmri_run-05	sub-006	ses-02	fmri	05	1	1
sub-006_ses-02_task-fmri_run-07	sub-006	ses-02	fmri	07	1	1
sub-006_ses-02_task-movie_run-01	sub-006	ses-02	movie	01	1	1
sub-006_ses-02_task-movie_run-03	sub-006	ses-02	movie	03	1	1
sub-006_ses-02_task-movie_run-05	sub-006	ses-02	movie	05	1	1
sub-006_ses-02_task-movie_run-07	sub-006	ses-02	movie	07	1	1
sub-006_ses-02_task-rest_run-01	sub-006	ses-02	rest	01	1	1
sub-007_ses-01_task-control_run-01	sub-007	ses-01	control	01	0	0
sub-007_ses-01_task-control_run-03	sub-007	ses-01	control	03	0	0
sub-007_ses-01_task-control_run-05	sub-007	ses-01	control	05	0	0
sub-007_ses-01_task-fmri_run-01	sub-007	ses-01	fmri	01	0	0
sub-007_ses-01_task-fmri_run-03	sub-007	ses-01	fmri	03	0	0
sub-007_ses-01_task-fmri_run-05	sub-007	ses-01	fmri	05	0	0
sub-007_ses-01_task-fmri_run-07	sub-007	ses-01	fmri	07	0	0
sub-007_ses-01_task-movie_run-01	sub-007	ses-01	movie	01	0	0
sub-007_ses-01_task-movie_run-03	sub-007	ses-01	movie	03	0	0
sub-007_ses-01_task-movie_run-05	sub-007	ses-01	movie	05	0	0
sub-007_ses-01_task-movie_run-07	sub-007	ses-01	movie	07	0	0
sub-007_ses-01_task-movie_run-09	sub-007	ses-01	movie	09	0	0
sub-007_ses-01_task-rest_run-01	sub-007	ses-01	rest	01	0	0
sub-008_ses-01_task-control_run-01	sub-008	ses-01	control	01	0	0
sub-008_ses-01_task-control_run-03	sub-008	ses-01	control	03	0	0
sub-008_ses-01_task-control_run-05	sub-008	ses-01	control	05	0	0
sub-008_ses-01_task-control_run-07	sub-008	ses-01	control	07	0	0
sub-008_ses-01_task-control_run-09	sub-008	ses-01	control	09	0	0
sub-008_ses-01_task-fmri_run-01	sub-008	ses-01	fmri	01	0	0
sub-008_ses-01_task-fmri_run-03	sub-008	ses-01	fmri	03	0	0
sub-008_ses-01_task-fmri_run-05	sub-008	ses-01	fmri	05	0	0
sub-008_ses-01_task-fmri_run-07	sub-008	ses-01	fmri	07	0	0
sub-008_ses-01_task-movie_run-01	sub-008	ses-01	movie	01	0	0
sub-008_ses-01_task-movie_run-03	sub-008	ses-01	movie	03	0	0
sub-008_ses-01_task-movie_run-05	sub-008	ses-01	movie	05	0	0
sub-008_ses-01_task-movie_run-07	sub-008	ses-01	movie	07	0	0
sub-008_ses-01_task-rest_run-01	sub-008	ses-01	rest	01	0	0
sub-008_ses-02_task-control_run-01	sub-008	ses-02	control	01	1	1
sub-008_ses-02_task-control_run-03	sub-008	ses-02	control	03	1	1
sub-008_ses-02_task-control_run-05	sub-008	ses-02	control	05	1	1
sub-008_ses-02_task-fmri_run-01	sub-008	ses-02	fmri	01	1	1
sub-008_ses-02_task-fmri_run-03	sub-008	ses-02	fmri	03	1	1
sub-008_ses-02_task-fmri_run-05	sub-008	ses-02	fmri	05	1	1
sub-008_ses-02_task-fmri_run-07	sub-008	ses-02	fmri	07	1	1
sub-008_ses-02_task-movie_run-01	sub-008	ses-02	movie	01	1	1
sub-008_ses-02_task-movie_run-03	sub-008	ses-02	movie	03	1	1
sub-008_ses-02_task-movie_run-05	sub-008	ses-02	movie	05	1	1
sub-008_ses-02_task-movie_run-07	sub-008	ses-02	movie	07	1	1
sub-008_ses-02_task-rest_run-01	sub-008	ses-02	rest	01	1	1
sub-009_ses-01_task-control_run-01	sub-009	ses-01	control	01	0	0
sub-009_ses-01_task-control_run-03	sub-009	ses-01	control	03	0	0
